DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHI,LFC,VP_FRMB,VS_FRMB,RHO_FRMB,IP_FRMB,IS_FRMB,VPVS_FRMB,VP_FRMO,VS_FRMO,RHO_FRMO,IP_FRMO,IS_FRMO,VPVS_FRMO,VP_FRMG,VS_FRMG,RHO_FRMG,IP_FRMG,IS_FRMG,VPVS_FRMG,LFC_B,LFC_O,LFC_G
2412.998,3263.7,1612.1,2.2534,66.2807,0.2738,2.2495699999999985,1.0,1.0,2.024502202096644,7341.921608999994,3626.5317969999987,0.20321269375942347,2.6825140310015074,1.09,0.2718619883865244,4.0,3263.7,1612.1,2.2495699999999985,7341.9216089999945,3626.5317969999974,2.0245022020966443,3263.7,1612.1,2.2495699999999985,7341.9216089999945,3626.5317969999974,2.0245022020966443,3263.7,1612.1,2.2495699999999985,7341.9216089999945,3626.5317969999974,2.0245022020966443,4.0,4.0,4.0
2413.1504,3352.6,1637.7,2.2459,65.9743,0.2635,2.249780000000001,0.9884875491480848,1.0,2.0471392806985405,7542.612428000002,3684.464706000001,0.199736567733972,2.681957850837436,1.0864311402359064,0.2708684523836641,1.0,3355.382481551445,1637.348267675653,2.2507466915210754,7552.11601913969,3685.25619633874,2.049278426461268,3305.9048744589763,1668.772825948492,2.1667774712821393,7163.160204179519,3615.859363953023,1.9810394938448115,3359.2662355815714,1726.963352366697,2.0232171915187975,6796.5251987172705,3494.0219436312364,1.945186752792353,1.0,2.0,3.0
2413.3027,3270.3,1668.0,2.2606,68.4743,0.2538,2.262107000000003,0.9754642153644758,1.0,1.960611510791367,7397.76852210001,3773.1944760000047,0.2280992148084784,2.6864958743693563,1.0823939067629875,0.26456477389814803,4.0,3270.3,1668.0,2.262107000000003,7397.76852210001,3773.194476000005,1.960611510791367,3270.3,1668.0,2.262107000000003,7397.76852210001,3773.194476000005,1.960611510791367,3270.3,1668.0,2.262107000000003,7397.76852210001,3773.194476000005,1.960611510791367,4.0,4.0,4.0
2413.4551,3246.5,1694.8000000000006,2.3023,71.3613,0.2577,2.317703500000025,1.0,1.0,1.9155652584375733,7524.4244127500815,3928.0438918000427,0.2608523996501184,2.691736383944019,1.09,0.23351713034263336,4.0,3246.5,1694.8000000000006,2.317703500000025,7524.424412750081,3928.0438918000436,1.915565258437573,3246.5,1694.8000000000006,2.317703500000025,7524.424412750081,3928.0438918000436,1.915565258437573,3246.5,1694.8000000000006,2.317703500000025,7524.424412750081,3928.0438918000436,1.915565258437573,4.0,4.0,4.0
2413.6077,3246.5,1694.8000000000006,2.3591,77.8587,0.3042,2.360155000000018,1.0,1.0,1.9155652584375733,7662.243207500059,3999.990694000031,0.3345657848908775,2.7035305255825404,1.09,0.212810058525885,4.0,3246.5,1694.8000000000006,2.360155000000018,7662.243207500059,3999.990694000032,1.915565258437573,3246.5,1694.8000000000006,2.360155000000018,7662.243207500059,3999.990694000032,1.915565258437573,3246.5,1694.8000000000006,2.360155000000018,7662.243207500059,3999.990694000032,1.915565258437573,4.0,4.0,4.0
2413.76,3305.3,1714.4,2.3743,84.7333,0.32,2.36259999999994,1.0,1.0,1.9279631357909472,7809.1017799998,4050.4414399998964,0.4125585263222382,2.7160093642115584,1.09,0.2173476807638096,4.0,3305.3,1714.4,2.36259999999994,7809.101779999803,4050.4414399998973,1.9279631357909472,3305.3,1714.4,2.36259999999994,7809.101779999803,4050.4414399998973,1.9279631357909472,3305.3,1714.4,2.36259999999994,7809.101779999803,4050.4414399998973,1.9279631357909472,4.0,4.0,4.0
2413.9124,3342.5,1717.1,2.3365,85.8771,0.3178,2.3280639999999475,1.0,1.0,1.9465960048919688,7781.553919999826,3997.51869439991,0.4255350046117664,2.7180856007378824,1.09,0.23955841176973064,4.0,3342.5,1717.1,2.3280639999999475,7781.553919999825,3997.5186943999097,1.946596004891969,3342.5,1717.1,2.3280639999999475,7781.553919999825,3997.5186943999097,1.946596004891969,3342.5,1717.1,2.3280639999999475,7781.553919999825,3997.5186943999097,1.946596004891969,4.0,4.0,4.0
2414.0647,3347.0,1713.4,2.2718,77.3639,0.2875,2.2587365000000084,1.0,1.0,1.953425936733979,7559.991065500027,3870.119119100014,0.32895224978189125,2.7026323599651025,1.09,0.2752616597466149,4.0,3347.0,1713.4,2.2587365000000084,7559.991065500028,3870.1191191000144,1.953425936733979,3347.0,1713.4,2.2587365000000084,7559.991065500028,3870.1191191000144,1.953425936733979,3347.0,1713.4,2.2587365000000084,7559.991065500028,3870.1191191000144,1.953425936733979,4.0,4.0,4.0
2414.2173,3366.0,1694.8000000000006,2.2312,65.6164,0.2701,2.2306540000000017,1.0,1.0,1.9860750531036109,7508.381364000005,3780.512399200003,0.19567617117878566,2.6813081873886047,1.09,0.2831973033005905,1.0,3366.0,1694.8000000000006,2.2306540000000017,7508.381364000005,3780.5123992000044,1.9860750531036102,3314.0487521079503,1729.1687355716592,2.1428628359768185,7101.551907507479,3705.371420589535,1.9165560213603638,3371.0136534338926,1793.1068177402112,1.9927682652275056,6717.649030211694,3573.246362555774,1.8799848509205164,1.0,2.0,3.0
2414.3696,3353.5,1664.4,2.2286,62.0829,0.2638,2.238047999999984,1.0,1.0,2.0148401826484017,7505.293967999945,3725.0070911999733,0.15558840580367833,2.6748941449285883,1.09,0.2756311179055356,1.0,3353.5,1664.4,2.238047999999984,7505.293967999946,3725.0070911999737,2.0148401826484017,3288.394303618627,1697.1119836142882,2.152602353449268,7078.605317038623,3653.2072499950723,1.9376413197056288,3333.9227385776103,1757.805789413959,2.006517860959334,6689.575522014432,3527.0687125568306,1.8966388429572294,1.0,2.0,3.0
